"","method","bias","rmse","estimate","ci_cov","power","n","sig_u","rho","aw","ba","mis"
"10.4","MIME",-0.270661587762722,0.270661587762722,0.997293384122373,94.4,100,1000,0.9,0.15,0.75,1,"ps-mis"
"10.5","Naive",1.72083380179296,1.72083380179296,1.01720833801793,89.2,100,1000,0.9,0.15,0.75,1,"ps-mis"
"10.6","RC",-0.0374536604105221,0.0374536604105221,0.999625463395895,99.8,100,1000,0.9,0.15,0.75,1,"ps-mis"
"10.7","SIMEX",1.32462452956251,1.32462452956251,1.01324624529563,88.4,100,1000,0.9,0.15,0.75,1,"ps-mis"
"11.1","CV",-0.0857987809757507,0.0857987809757507,0.999142012190242,90.1260504201681,100,1000,0.1,0.15,0.75,1,"out-mis"
"11.2","IV",-0.179589434087477,0.179589434087477,0.998204105659125,94,100,1000,0.1,0.15,0.75,1,"out-mis"
"11.3","Ideal",-0.198842908477093,0.198842908477093,0.998011570915229,94.2,100,1000,0.1,0.15,0.75,1,"out-mis"
"11.4","MIME",-1.32098617706039,1.32098617706039,0.986790138229396,94.8,100,1000,0.1,0.15,0.75,1,"out-mis"
"11.5","Naive",-0.303369138611258,0.303369138611258,0.996966308613887,92.8,100,1000,0.1,0.15,0.75,1,"out-mis"
"11.6","RC",-0.249200494785019,0.249200494785019,0.99750799505215,94.8,100,1000,0.1,0.15,0.75,1,"out-mis"
"11.7","SIMEX",-0.261502284013226,0.261502284013226,0.997384977159868,93,100,1000,0.1,0.15,0.75,1,"out-mis"
"12.1","CV",-0.00140350501748829,0.00140350501748829,0.999985964949825,89.6995708154506,100,1000,0.25,0.15,0.75,1,"out-mis"
"12.2","IV",-0.0927647260504855,0.0927647260504855,0.999072352739495,97,100,1000,0.25,0.15,0.75,1,"out-mis"
"12.3","Ideal",0.0128826309057073,0.0128826309057073,1.00012882630906,93.2,100,1000,0.25,0.15,0.75,1,"out-mis"
"12.4","MIME",-0.136391433489411,0.136391433489411,0.998636085665106,94.6,100,1000,0.25,0.15,0.75,1,"out-mis"
"12.5","Naive",-0.271667827293412,0.271667827293412,0.997283321727066,93.4,100,1000,0.25,0.15,0.75,1,"out-mis"
"12.6","RC",0.00676733850166791,0.00676733850166791,1.00006767338502,93.8,100,1000,0.25,0.15,0.75,1,"out-mis"
"12.7","SIMEX",-0.0209561355206139,0.0209561355206139,0.999790438644794,93,100,1000,0.25,0.15,0.75,1,"out-mis"
"13.1","CV",-0.101086353658681,0.101086353658681,0.998989136463413,86.2704918032787,100,1000,0.5,0.15,0.75,1,"out-mis"
"13.2","IV",-0.685343925730371,0.685343925730371,0.993146560742696,95.4,100,1000,0.5,0.15,0.75,1,"out-mis"
"13.3","Ideal",-0.213268323019087,0.213268323019087,0.997867316769809,93,100,1000,0.5,0.15,0.75,1,"out-mis"
