,method,bias,rmse,estimate,ci_cov,power,n,sig_u,ba,aw,bw,mis
15.4,MIME,1.393880514,1.393880514,-0.493030597,94.8,100,1000,0.9,-0.5,0.5,0.5,ps-mis
15.5,Naive,42.98580769,42.98580769,-0.285070962,0,100,1000,0.9,-0.5,0.5,0.5,ps-mis
15.6,RC,-0.554183648,0.554183648,-0.502770918,97,100,1000,0.9,-0.5,0.5,0.5,ps-mis
15.7,SIMEX,24.81269523,24.81269523,-0.375936524,6.6,100,1000,0.9,-0.5,0.5,0.5,ps-mis
16.1,CV,-0.330310211,0.330310211,0.996696898,90.61833689,100,1000,0.1,1,0.5,0.5,ps-mis
16.2,IV,0.714015315,0.714015315,1.007140153,96.2,100,1000,0.1,1,0.5,0.5,ps-mis
16.3,Ideal,-0.309449167,0.309449167,0.996905508,96.6,100,1000,0.1,1,0.5,0.5,ps-mis
16.4,MIME,-0.996867986,0.996867986,0.99003132,96,100,1000,0.1,1,0.5,0.5,ps-mis
16.5,Naive,-1.185476423,1.185476423,0.988145236,94.8,100,1000,0.1,1,0.5,0.5,ps-mis
16.6,RC,-0.274411903,0.274411903,0.997255881,95.8,100,1000,0.1,1,0.5,0.5,ps-mis
16.7,SIMEX,-0.309336908,0.309336908,0.996906631,95.8,100,1000,0.1,1,0.5,0.5,ps-mis
17.1,CV,0.006900902,0.006900902,1.000069009,87.39669421,100,1000,0.25,1,0.5,0.5,ps-mis
17.2,IV,-0.518472071,0.518472071,0.994815279,92,100,1000,0.25,1,0.5,0.5,ps-mis
17.3,Ideal,-0.258317567,0.258317567,0.997416824,92,100,1000,0.25,1,0.5,0.5,ps-mis
17.4,MIME,-0.53872305,0.53872305,0.99461277,93.6,100,1000,0.25,1,0.5,0.5,ps-mis
17.5,Naive,-5.754469282,5.754469282,0.942455307,60,100,1000,0.25,1,0.5,0.5,ps-mis
17.6,RC,-0.199726945,0.199726945,0.998002731,95.2,100,1000,0.25,1,0.5,0.5,ps-mis
17.7,SIMEX,-0.899737376,0.899737376,0.991002626,91.6,100,1000,0.25,1,0.5,0.5,ps-mis
18.1,CV,-0.189786456,0.189786456,0.998102135,88.61788618,100,1000,0.5,1,0.5,0.5,ps-mis
18.2,IV,0.749218712,0.749218712,1.007492187,96,100,1000,0.5,1,0.5,0.5,ps-mis
18.3,Ideal,0.079858917,0.079858917,1.000798589,92.6,100,1000,0.5,1,0.5,0.5,ps-mis
18.4,MIME,-1.005575298,1.005575298,0.989944247,94.8,100,1000,0.5,1,0.5,0.5,ps-mis
18.5,Naive,-18.7754357,18.7754357,0.812245643,0.2,100,1000,0.5,1,0.5,0.5,ps-mis
18.6,RC,-0.190991163,0.190991163,0.998090088,96.6,100,1000,0.5,1,0.5,0.5,ps-mis
18.7,SIMEX,-5.393584521,5.393584521,0.946064155,66.2,100,1000,0.5,1,0.5,0.5,ps-mis
19.1,CV,-0.11342812,0.11342812,0.998865719,86.54618474,100,1000,0.75,1,0.5,0.5,ps-mis
19.2,IV,1.434217712,1.434217712,1.014342177,96.2,100,1000,0.75,1,0.5,0.5,ps-mis
19.3,Ideal,-0.108583464,0.108583464,0.998914165,94,100,1000,0.75,1,0.5,0.5,ps-mis
19.4,MIME,-1.200224443,1.200224443,0.987997756,94.6,100,1000,0.75,1,0.5,0.5,ps-mis
19.5,Naive,-34.1506052,34.1506052,0.658493948,0,100,1000,0.75,1,0.5,0.5,ps-mis
19.6,RC,0.073060188,0.073060188,1.000730602,98.6,100,1000,0.75,1,0.5,0.5,ps-mis
19.7,SIMEX,-16.38573018,16.38573018,0.836142698,2.2,100,1000,0.75,1,0.5,0.5,ps-mis
20.1,CV,-0.028529343,0.028529343,0.999714707,87.3747495,100,1000,0.9,1,0.5,0.5,ps-mis
20.2,IV,1.644095867,1.644095867,1.016440959,94.6,100,1000,0.9,1,0.5,0.5,ps-mis
20.3,Ideal,0.035853718,0.035853718,1.000358537,89.6,100,1000,0.9,1,0.5,0.5,ps-mis
20.4,MIME,-1.21657251,1.21657251,0.987834275,94.4,100,1000,0.9,1,0.5,0.5,ps-mis
20.5,Naive,-42.82078397,42.82078397,0.57179216,0,100,1000,0.9,1,0.5,0.5,ps-mis
20.6,RC,0.445020987,0.445020987,1.00445021,99.4,100,1000,0.9,1,0.5,0.5,ps-mis
20.7,SIMEX,-24.50854797,24.50854797,0.75491452,0.2,100,1000,0.9,1,0.5,0.5,ps-mis
21.1,CV,-0.128102071,0.128102071,-0.50064051,89.17748918,100,1000,0.1,-0.5,0.5,0.5,out-mis
21.2,IV,-0.543350414,0.543350414,-0.502716752,97.2,76.2,1000,0.1,-0.5,0.5,0.5,out-mis
21.3,Ideal,-0.004962312,0.004962312,-0.500024812,92.8,100,1000,0.1,-0.5,0.5,0.5,out-mis
21.4,MIME,1.795018539,1.795018539,-0.366024907,93.1,100,1000,0.1,-0.5,0.5,0.5,out-mis
21.5,Naive,1.004160791,1.004160791,-0.494979196,92.6,100,1000,0.1,-0.5,0.5,0.5,out-mis
21.6,RC,0.046115403,0.046115403,-0.499769423,92.2,100,1000,0.1,-0.5,0.5,0.5,out-mis
21.7,SIMEX,0.069227582,0.069227582,-0.499653862,93.4,100,1000,0.1,-0.5,0.5,0.5,out-mis
22.1,CV,0.442278385,0.442278385,-0.497788608,88.01652893,100,1000,0.25,-0.5,0.5,0.5,out-mis
22.2,IV,-2.032686498,2.032686498,-0.510163432,96.4,75.2,1000,0.25,-0.5,0.5,0.5,out-mis
22.3,Ideal,0.557623468,0.557623468,-0.497211883,92.8,100,1000,0.25,-0.5,0.5,0.5,out-mis
22.4,MIME,2.212901783,2.212901783,-0.488935491,92.8,100,1000,0.25,-0.5,0.5,0.5,out-mis
22.5,Naive,5.962764844,5.962764844,-0.470186176,81.8,100,1000,0.25,-0.5,0.5,0.5,out-mis
22.6,RC,0.490622084,0.490622084,-0.49754689,92.6,100,1000,0.25,-0.5,0.5,0.5,out-mis
22.7,SIMEX,1.033916629,1.033916629,-0.494830417,91.2,100,1000,0.25,-0.5,0.5,0.5,out-mis
23.1,CV,0.210529121,0.210529121,-0.498947354,87.67676768,100,1000,0.5,-0.5,0.5,0.5,out-mis
23.2,IV,0.768221694,0.768221694,-0.496158892,96.6,71.2,1000,0.5,-0.5,0.5,0.5,out-mis
23.3,Ideal,0.644272283,0.644272283,-0.496778639,93.2,100,1000,0.5,-0.5,0.5,0.5,out-mis
23.4,MIME,6.408688326,6.408688326,-0.467956558,90.6,100,1000,0.5,-0.5,0.5,0.5,out-mis
23.5,Naive,19.71379065,19.71379065,-0.401431047,15,100,1000,0.5,-0.5,0.5,0.5,out-mis
23.6,RC,0.606094102,0.606094102,-0.496969529,95.8,100,1000,0.5,-0.5,0.5,0.5,out-mis
23.7,SIMEX,6.3100743,6.3100743,-0.468449629,82.6,100,1000,0.5,-0.5,0.5,0.5,out-mis
24.1,CV,0.124586673,0.124586673,-0.499377067,86.37274549,100,1000,0.75,-0.5,0.5,0.5,out-mis
24.2,IV,-5.891494611,5.891494611,-0.529457473,96.4,76.2,1000,0.75,-0.5,0.5,0.5,out-mis
24.3,Ideal,-0.055835108,0.055835108,-0.500279176,92.2,100,1000,0.75,-0.5,0.5,0.5,out-mis
24.4,MIME,10.8849677,10.8849677,-0.445575162,84.2,100,1000,0.75,-0.5,0.5,0.5,out-mis
24.5,Naive,34.7442284,34.7442284,-0.326278858,0,100,1000,0.75,-0.5,0.5,0.5,out-mis
