"","method","bias","mse","ATE","ci_cov","power","u","a","n","b","rho","psi","ax","bax","baz"
"10.5","PSC",-6.46917566809306,41.8502338246472,0.0935308243319069,34,73.6,0.9,0.1,3000,0,0.8,0.5,0.25,0,0
"10.6","SIMEX dir.",47.6489571027744,2270.42311298204,0.147648957102774,89.6,81.2,0.9,0.1,3000,0,0.8,0.5,0.25,0,0
"11.1","IV",-3.1743321367243,10.0763845142407,0.0968256678632757,95.2,52,0.1,0.1,3000,0,0.1,0.5,0.75,0,0
"11.2","Ideal",2.06920063543648,4.28159126969072,0.102069200635436,96.4,54,0.1,0.1,3000,0,0.1,0.5,0.75,0,0
"11.3","MIME",-2.4489549984946,5.99738058465167,0.0975510450015054,81.6,46.4,0.1,0.1,3000,0,0.1,0.5,0.75,0,0
"11.4","Naive",9.50766062529475,90.3956105657801,0.109507660625295,95.6,58.8,0.1,0.1,3000,0,0.1,0.5,0.75,0,0
"11.5","PSC",-4.12247362306369,16.9947887728559,0.0958775263769363,35.6,92,0.1,0.1,3000,0,0.1,0.5,0.75,0,0
"11.6","SIMEX dir.",-64.9862920524622,4223.21815472791,0.0350137079475378,80.8,6.8,0.1,0.1,3000,0,0.1,0.5,0.75,0,0
"12.1","IV",1.83443958213033,3.3651685804865,0.10183443958213,96,57.6,0.25,0.1,3000,0,0.1,0.5,0.75,0,0
"12.2","Ideal",-1.22647631138456,1.50424414238747,0.0987735236886154,96.8,50,0.25,0.1,3000,0,0.1,0.5,0.75,0,0
"12.3","MIME",1.26404170622638,1.59780143507969,0.101264041706226,96,47.2,0.25,0.1,3000,0,0.1,0.5,0.75,0,0
"12.4","Naive",41.7708180441651,1744.80124007875,0.141770818044165,87.2,82.8,0.25,0.1,3000,0,0.1,0.5,0.75,0,0
"12.5","PSC",-20.6833953217036,427.80284203387,0.0793166046782964,29.6,81.6,0.25,0.1,3000,0,0.1,0.5,0.75,0,0
"12.6","SIMEX dir.",-123.387947361154,15224.585553999,-0.0233879473611543,40,4.8,0.25,0.1,3000,0,0.1,0.5,0.75,0,0
"13.1","IV",3.14106015518756,9.86625889850687,0.103141060155188,94.8,54.4,0.5,0.1,3000,0,0.1,0.5,0.75,0,0
"13.2","Ideal",2.0783263586987,4.31944045326178,0.102078326358699,94.4,54,0.5,0.1,3000,0,0.1,0.5,0.75,0,0
"13.3","MIME",4.90085609423429,24.0183904563934,0.104900856094234,87.2,48,0.5,0.1,3000,0,0.1,0.5,0.75,0,0
"13.4","Naive",148.643340954778,22094.8428101983,0.248643340954778,17.2,99.6,0.5,0.1,3000,0,0.1,0.5,0.75,0,0
"13.5","PSC",-64.2316850293161,4125.70936170528,0.0357683149706839,34.4,75.6,0.5,0.1,3000,0,0.1,0.5,0.75,0,0
"13.6","SIMEX dir.",-60.2949573621395,3635.48188330222,0.0397050426378605,83.6,9.2,0.5,0.1,3000,0,0.1,0.5,0.75,0,0
"14.1","IV",5.27771589306133,27.8542850478721,0.105277715893061,94.8,45.2,0.75,0.1,3000,0,0.1,0.5,0.75,0,0
"14.2","Ideal",0.597193181409336,0.356639695921805,0.100597193181409,95.6,53.6,0.75,0.1,3000,0,0.1,0.5,0.75,0,0
"14.3","MIME",-0.0671411197168572,0.00450792995683335,0.0999328588802832,85.6,45.2,0.75,0.1,3000,0,0.1,0.5,0.75,0,0
"14.4","Naive",256.708640731726,65899.3262263306,0.356708640731726,0.4,99.6,0.75,0.1,3000,0,0.1,0.5,0.75,0,0
"14.5","PSC",-85.5615372843357,7320.77666245877,0.0144384627156643,32,70,0.75,0.1,3000,0,0.1,0.5,0.75,0,0
"14.6","SIMEX dir.",73.1162148685512,5345.98087670414,0.173116214868551,70.4,86.4,0.75,0.1,3000,0,0.1,0.5,0.75,0,0
"15.1","IV",-7.00948280213091,49.132849153369,0.0929905171978691,97.2,37.2,0.9,0.1,3000,0,0.1,0.5,0.75,0,0
"15.2","Ideal",-2.22696569208793,4.95937619373666,0.0977730343079121,94,51.6,0.9,0.1,3000,0,0.1,0.5,0.75,0,0
"15.3","MIME",-3.53903388602326,12.5247608464209,0.0964609661139767,84.8,43.6,0.9,0.1,3000,0,0.1,0.5,0.75,0,0
"15.4","Naive",313.551059181704,98314.2667139684,0.413551059181704,0,100,0.9,0.1,3000,0,0.1,0.5,0.75,0,0
"15.5","PSC",-99.9606351778144,9992.12858515211,3.9364822185564e-05,26.4,67.6,0.9,0.1,3000,0,0.1,0.5,0.75,0,0
"15.6","SIMEX dir.",151.493029588389,22950.1380138686,0.251493029588389,21.2,99.2,0.9,0.1,3000,0,0.1,0.5,0.75,0,0
"16.1","IV",2.01747060443731,4.07018763976866,0.102017470604437,94.8,66.8,0.1,0.1,3000,0,0.8,0.5,0.75,0,0
"16.2","Ideal",1.34679277040307,1.81385076640997,0.101346792770403,94.8,44.4,0.1,0.1,3000,0,0.8,0.5,0.75,0,0
"16.3","MIME",4.98861354359392,24.8862650873287,0.104988613543594,88.8,48.4,0.1,0.1,3000,0,0.8,0.5,0.75,0,0
"16.4","Naive",7.28666453289595,53.0954800149637,0.107286664532896,94.4,47.2,0.1,0.1,3000,0,0.8,0.5,0.75,0,0
"16.5","PSC",0.535349025426119,0.286598579024695,0.100535349025426,31.6,90.4,0.1,0.1,3000,0,0.8,0.5,0.75,0,0
"16.6","SIMEX dir.",-57.7898769228163,3339.66987475425,0.0422101230771838,82,14.8,0.1,0.1,3000,0,0.8,0.5,0.75,0,0
"17.1","IV",1.22056716929838,1.48978421476907,0.101220567169298,94.4,66,0.25,0.1,3000,0,0.8,0.5,0.75,0,0
"17.2","Ideal",-2.18207254845022,4.76144060670002,0.0978179274515498,96.8,42,0.25,0.1,3000,0,0.8,0.5,0.75,0,0
"17.3","MIME",-0.3269431878438,0.106891848077466,0.0996730568121562,90,49.6,0.25,0.1,3000,0,0.8,0.5,0.75,0,0
"17.4","Naive",37.7422655617772,1424.47860973571,0.137742265561777,86.8,65.2,0.25,0.1,3000,0,0.8,0.5,0.75,0,0
"17.5","PSC",-25.7819664052068,664.709791719211,0.0742180335947932,31.2,76,0.25,0.1,3000,0,0.8,0.5,0.75,0,0
"17.6","SIMEX dir.",-70.0788067012656,4911.03914867335,0.0299211932987344,79.2,12.8,0.25,0.1,3000,0,0.8,0.5,0.75,0,0
"18.1","IV",-1.25927573389824,1.58577537398494,0.0987407242661018,95.6,56.8,0.5,0.1,3000,0,0.8,0.5,0.75,0,0
"18.2","Ideal",-3.36262245231157,11.3072297567898,0.0966373775476884,94,40.4,0.5,0.1,3000,0,0.8,0.5,0.75,0,0
"18.3","MIME",0.0761015941085101,0.00579145262585642,0.100076101594109,89.6,42,0.5,0.1,3000,0,0.8,0.5,0.75,0,0
"18.4","Naive",105.235211459253,11074.4497308738,0.205235211459253,56.4,95.2,0.5,0.1,3000,0,0.8,0.5,0.75,0,0
"18.5","PSC",-62.6487867850531,3924.87048563905,0.0373512132149469,30,71.2,0.5,0.1,3000,0,0.8,0.5,0.75,0,0
"18.6","SIMEX dir.",17.5577916471733,308.276047525549,0.117557791647173,92,57.6,0.5,0.1,3000,0,0.8,0.5,0.75,0,0
"19.1","IV",2.40645589387824,5.79102996918131,0.102406455893878,95.6,53.2,0.75,0.1,3000,0,0.8,0.5,0.75,0,0
"19.2","Ideal",-2.15215385524492,4.63176621664559,0.0978478461447551,94.4,42.8,0.75,0.1,3000,0,0.8,0.5,0.75,0,0
"19.3","MIME",4.21336852099391,17.7524742937024,0.104213368520994,88.4,46,0.75,0.1,3000,0,0.8,0.5,0.75,0,0
"19.4","Naive",157.732581630392,24879.5673077883,0.257732581630392,22,98,0.75,0.1,3000,0,0.8,0.5,0.75,0,0
"19.5","PSC",-62.3110689191158,3882.66930984279,0.0376889310808842,29.6,68.4,0.75,0.1,3000,0,0.8,0.5,0.75,0,0
"19.6","SIMEX dir.",104.863939462479,10996.4457995904,0.204863939462479,46.8,94.4,0.75,0.1,3000,0,0.8,0.5,0.75,0,0
"20.1","IV",3.02687865086006,9.1619943670324,0.10302687865086,94.4,45.2,0.9,0.1,3000,0,0.8,0.5,0.75,0,0
"20.2","Ideal",4.34217350138774,18.8544707161538,0.104342173501388,94,47.6,0.9,0.1,3000,0,0.8,0.5,0.75,0,0
"20.3","MIME",3.95459041056305,15.6387853153172,0.103954590410563,87.6,47.2,0.9,0.1,3000,0,0.8,0.5,0.75,0,0
"20.4","Naive",186.028525173383,34606.612178184,0.286028525173383,13.6,99.2,0.9,0.1,3000,0,0.8,0.5,0.75,0,0
"20.5","PSC",-106.488622930115,11339.8268135522,-0.00648862293011478,32,68,0.9,0.1,3000,0,0.8,0.5,0.75,0,0
"20.6","SIMEX dir.",141.585564664475,20046.4721213581,0.241585564664475,27.2,98.8,0.9,0.1,3000,0,0.8,0.5,0.75,0,0
"21.1","IV",1.6174150881446,2.61603156735781,0.101617415088145,94.8,100,0.1,0.1,3000,1,0.1,0.5,0.25,0,0
"21.2","Ideal",1.52929753994124,2.33875096567032,0.101529297539941,94.4,100,0.1,0.1,3000,1,0.1,0.5,0.25,0,0
"21.3","MIME",0.476893651485278,0.227427554826961,0.100476893651485,80,99.2,0.1,0.1,3000,1,0.1,0.5,0.25,0,0
"21.4","Naive",1.91277254016046,3.65869879039189,0.10191277254016,94.8,100,0.1,0.1,3000,1,0.1,0.5,0.25,0,0
"21.5","PSC",1.58124396452137,2.50033247533525,0.101581243964521,32.4,100,0.1,0.1,3000,1,0.1,0.5,0.25,0,0
"21.6","SIMEX dir.",-2.77564796650297,7.70422163395209,0.097224352033497,96,100,0.1,0.1,3000,1,0.1,0.5,0.25,0,0
